,Ques,Ans
1955,What is the Latin word for insect?,insectum
1956,Insects are a class of what?,invertebrates
1957,Insects have what kind of skeleton?,chitinous exoskeleton
1958,"An insects 3-part body includes a throat, abdomen, and what?",head
1959,What do all living humans belong to?,the same species
1960,What species are all humans?,Homo sapiens
1961,Race has no taxonomic significance among whom?,humans
1962,What set of traits do some scientists use race to make distinctions among?,fuzzy
1963,How do scientists around the world continue to conceptualize race?,in widely differing ways
1964,What is the aggregate population of Paris?,"10,550,350"
1965,From what census is this information from?,2012 census
1966,What is the population of Paris' metropolitan area?,"12,341,418"
1967,How many kilometers does the administrative region cover?,"12,012 km²"
1968,As of 2014 how many inhabitants lived in the administrative region?,12 million
1969,"What is the word for a beardless, athletic youth?",kouros
1970,What is one of the most important and complex of the Olympian deities in classical Greek and Roman religion?,Apollo
1971,Who are the parents of Apollo?,Zeus and Leto
1972,Who is Apollo's twin sister?,Artemis
1973,What name is Apollo known by in Etruscan mythology?,Apulu
1974,How many States renounced their preferred political party?,three
1975,Which state switched sides and embraced the Democratic party after previously choosing the Republican party?,New Hampshire
1976,"How many votes did Kerry receive, in the Electoral College?",252
1977,How large of a gap was there between Bush's and Kerry's votes? ,the smallest ever
1978,"Which candidate, in the 2004 election, had the majority of the popular vote?",Bush
1979,What was the original name of IBM?,Computing-Tabulating-Recording Company
1980,What does IBM stand for?,International Business Machines
1981,In what year was CTR created?,1911
1982,What was the unofficial name given to IBM by analysts?,Big Blue
1983,Who created the IBM name?,Thomas J. Watson
1984,In what year did the company that was to become IBM form?,1911
1985,What was the name of the company that eventually became IBM?,Computing-Tabulating-Recording Company (CTR)
1986,In what year did IBM get its name?,1924
1987,What nickname was given to IBM?,Big Blue
1988,What is one parent company of the Computing-Tabulating-Recording Company?,Computing Scale Company
1989,What is economic liberalism sometimes also referred to?,New Right
1990,Does the Liberal Party of Australia consider itself socialist or anti-socialist?,anti-socialist
1991,Who was the Liberal Party of Australia's longest-serving leader?,Robert Menzies
1992,Who founded Australia's liberal party?,Robert Menzies
1993,What was William Scott Wilson's occupation?,translator
1994,What are samurai usually called in Japanse?,"bushi (武士?, [bu.ɕi]) or buke (武家?)"
1995,Where is the first known use of 'samurai'?,Kokin Wakashū
1996,When is the first known use of 'samurai'?,905–914
1997,What is the purpose of testing software?,finding software bugs
1998,Why is it so difficult to locate bugs in software?,tests for even simple software components is practically infinite
1999,What can come from one bug being fixed?,"it can illuminate other, deeper bugs,"
2000,What ingredient makes glass colorful?,metallic salts
2001,What in combination with glass fibers is used to make fiberglass?,organic polymer plastic
2002,What quality of silicate glass allows it to be used for windows?,transparency
2003,What type of glass products can be used for sending information?,optical fibers
2004,In what product are glass fibers used to hold dead air?,thermal insulating material
2005,What drives the wider acceptance of renewable energy technologies?,Public policy and political leadership
2006,Denmark has a committment to 100 percent renewable energy by what year?,2050
2007,How many countries now have renewable energy policies?,144
2008,For what is Palermo known?,"history, culture, architecture and gastronomy"
2009,How old is the city of Palermo?,"2,700 years old"
2010,On what island is Palermo located?,Sicily
2011,What is the symbol for Zinc?,Zn
2012,What is the atomic number for Zinc?,30
2013,What is zinc chemically close to?,magnesium
2014,What is the oxidation state for zinc?,+2
2015,How many stable isotopes does zinc have?,five
2016,What is the symbol for zinc?,Zn
2017,What is zinc's atomic number?,30
2018,What other element on the periodic table is zinc similar to?,magnesium
2019,What is the most common zinc ore?,sphalerite
2020,What is used to extract zinc during the production process?,electricity
2021,Who influenced many 19th century neoclassical architects?,Étienne-Louis Boullée and Claude Nicolas Ledoux
2022,What do geometric architecture emulate of the universe?,eternality
2023,What Edmund Burke concept is linked to Boullee's ideas?,sublime
2024,What concept did Ledoux address?,architectural character
2025,"As a concept of neoclassical architecture, what should be immediately communicated to viewer?",building should immediately communicate its function
2026,Was CBC one of the first or last stations to adopt a 24 hour schedule?,last
2027,When did stations previously sign off the air?,early morning hours (typically from 1:00 a.m. to 6:00 a.m.)
2028,What did private stations air when programming was not ticketed?,infomercials
2029,What does CBC use unallotted airtime for?,"local news, primetime series, movies and other programming from the CBC library"
2030,Which French station has refused to adopt a 24 hour schedule?,Ici Radio-Canada Télé
2031,What are the Appalachian mountains called in French?,les Appalaches
2032,What are the Appalachian mountains?,a system of mountains in eastern North America
2033,When did the Appalachian mountains form?,roughly 480 million years ago
2034,In what era did the mountains form?,Ordovician Period
2035,What is a property of objects which can be transferred to other objects or converted into different forms?,energy
2036,"In SI units, energy is measured in what measurement?",joules
2037,"Mechanically, one joule is defined as what?",the energy transferred to an object by the mechanical work of moving it a distance of 1 metre against a force of 1 newton
2038,Who defeated the native Prussians during the 13 century?,Teutonic Knights
2039,What other groups during this period for form minorities?,Poles and Lithuanians
2040,The Balts were gradually converted into which religion?,Christianity
2041,Which ethnic group become dominant following the 13 century just a few hundred years later?,Germans
2042,Around when did the Old Prussian language become extinct?,17th or early 18th century
2043,The Ottoman Empire is also known as what three other names?,"Turkish Empire, Ottoman Turkey or Turkey"
2044,When was the Ottoman empire founded?,1299
2045,Who founded the Ottoman empire?,Oghuz Turks
2046,Where was the Ottoman empire founded?,northwestern Anatolia
2047,Conquests by who began the transformation of the Ottoman sultanate into an Empire?,Murad I
2048,Which philosophy branch is concerned with issues surrounding ontology?,Philosophy of space and time
2049,The philosophy of space and time was inspired by what kind of philosophy?,early analytic philosophy
2050,The  philosophy of space and time focuses on whether or not time and space exist independently of what?,the mind
2051,The  philosophy of space and time focuses what kind of flow within time? ,unidirectional
2052,What era is commonly known as the final phase of the Stone Age?,the Neolithic
2053,What era preceded the Neolithic?,Holocene Epipaleolithic period
2054,What event is associated with the start of farming?,Neolithic Revolution
2055,What era saw an increase in metal tool use?,Copper Age
2056,In which nation was Friedrich Hayek born?,Austria-Hungary
2057,Friedrich Hayek name was commonly shortened to what?,F. A. Hayek
2058,What award did Hayek receive in 1974?,Nobel Memorial Prize
2059,With whom did Hayek share his 1974 award?,Gunnar Myrdal
2060,"Along with being an economist, what else was Hayek known as?",philosopher
2061,What is diarrhea?,the condition of having at least three loose or liquid bowel movements each day
2062,What is one of the effects of diarrhea?,can result in dehydration due to fluid loss
2063,What are the warning signs of dehydration?,loss of the normal stretchiness of the skin and irritable behaviour
2064,What are other signs of dehydration?,"decreased urination, loss of skin color, a fast heart rate, and a decrease in responsiveness"
2065,What are the origins of the word madrasa?,Arabic
2066,What type of educational institution does the term madrasa refer?,any type
2067,"In Western culture, the term madrasa widely refers to the practices of what religion?",Islamic
2068,How many students enrolled in madaris are Muslim?,Not all
2069,Who founded Philadelphia?,William Penn
2070,What role did Philadelphia play in the American Revolution?,a meeting place for the Founding Fathers
2071,What purpose did Philadelphia serve while D.C. was under construction?,temporary U.S. capital
2072,When did it reach 2 million occupants>,1950
2073,What was Kerry's major?,political science
2074,Where did Kerry go to college?,Yale University
2075,What branch of the military did Kerry join?,Naval Reserve
2076,What medals did Kerry win?,"the Silver Star Medal, Bronze Star Medal, and three Purple Heart Medals"
2077,What group was Kerry a spokesman for?,Vietnam Veterans Against the War
2078,How many square kilometers is Rajasthan?,"342,239"
2079,What percentage of India's total area is Rajasthan?,10.4%
2080,What are alternative names the Thar Desert is known by?,"the ""Rajasthan Desert"" and ""Great Indian Desert"""
2081,What province in Pakistan does Rajasthan border on its north?,Punjab
2082,The Dilwara Temples are a pilgrimage site for whom?,Jain
2083,What country is Guam a territory of?,United States
2084,Where is the island of Guan located?,northwestern Pacific Ocean
2085,How many people currently call Guam home as of 2015?,"161,785"
2086,What is the most populous city in Guam?,Dededo
2087,What is the name of the largest mountain in Guam?,Mount Lamlam
2088,What is commonly contrasted with empiricism?,rationalism
2089,Where does rationalism say knowledge comes from?,reason independently of the senses
2090,What is an example knowledge being derived from intuition?,knowledge of God's existence
2091,What did Locke think some knowledge could come from?,intuition and reasoning alone
2092,Where were the main European rationalists?,"Descartes, Spinoza, and Leibniz"
2093,What do idealist philosophies say is constructed in our minds?,reality
2094,What types of things are idealist philosophies skeptical about?,mind-independent
2095,"Along with physicalist theories, what theories is idealism in conflict with?",dualist
2096,"In sociology, what sorts of ideas does idealism focus on?",beliefs and values
2097,What makes up Education?,"knowledge, skills, values, beliefs, and habits"
2098,What methods make up Education?,"storytelling, discussion, teaching, training, and directed research"
2099,Where does education usually take place under?,the guidance of educators
2100,Which state borders Tennessee to the east?,North Carolina
2101,Which mountains occupy much of eastern Tennessee?,Appalachian Mountains
2102,Which river marks Tennessee's border to the west?,Mississippi River
2103,What is the capital of Tennessee?,Nashville
2104,What is Tennessee's most populous city?,Memphis
2105,What is post-punk?,heterogeneous type of rock music
2106,When did post-punk arrive on the scene?,in the wake of the punk movement of the 1970s
2107,What did post-punk artists use in their music?,"critical theory, cinema, performance art and modernist literature"
2108,What began to spring up around the post-punk music?,independent record labels and fanzines
2109,How did post-punk take on rock and roll?,conceptual assault
2110,When was the original punk movement?,1970s
2111,What is a name for a type of rock music that is extremely varied in sound?,Post-punk
2112,What elements of punk rock did post-punk depart from?,musical conventions and wider cultural affiliations
2113,What subject matter does post-punk commonly mesh its musical sensibilities with?,art and politics
2114,What developed along with the music developments of post-punk?,subcultures
2115,Which North American version of football calls for 12 player per side on the field?,Canadian
2116,How many yards wider is a Canadian football field than an American football field?,10
2117,Which version of North American football has smaller end zones?,American
2118,How many downs does a team have to advance ten yards in Canadian football?,three
2119,How far away from the line of scrimmage must Canadian football defenders be?,1 yard
2120,What countries led the two coalitions during the Seven Years' War?,"two coalitions, led by Great Britain on one side and France"
2121,What major power of the time was not involved in The Seven Years' War?,It involved every great power of the time except the Ottoman Empire
2122,When was the Seven Year' War fought?,The Seven Years' War was fought between 1755 and 1764
2123,What country emerged as the world's predominate power?,Britain rose as the world's predominant power
2124,What was the Seven Years' War considered as the prelude to?,Considered a prelude to the two world wars
2125,"Feynman proposed a integral model in particle physics, what was it?",parton model
2126,Who were the two men that won the Nobel Prize in Physics with Feynman?,Julian Schwinger and Sin-Itiro Tomonaga
2127,In what year did Feynman win his Nobel Prize?,1965
2128,"Feynman was famous for diagrams that showed how subatomic particles behaved, what are these known as?",Feynman diagrams
2129,What honor did Feynman recieve in a 1999 poll conducted by British Journal Physics World?,ranked as one of the ten greatest physicists of all time
2130,"When was Gaddafi born, and when did he die?",1942 – 20 October 2011
2131,What was Gaddifi's original political viewpoint?,Initially ideologically committed to Arab nationalism and Arab socialism
2132,What political philosophy did Gaddifi create?,his own Third International Theory
2133,What political philosophy did  Gaddafi adhere to when he was the Chairperson of the African Union?,Pan-Africanism
2134,"What was Gaddafi's position when he was considered the ""Brotherly Leader""?",the Great Socialist People's Libyan Arab Jamahiriya from 1977 to 2011
2135,"When did Gaddafi rule as the ""Brotherly Leader""?",from 1977 to 2011
2136,What ideology did Gaddafi adopt when he was the Chairperson of the African Union?,Pan-Africanism
2137,List Gaddafi's lifespan.,1942 – 20 October 2011
2138,When did he first gain power in Libya?,1969
2139,What political ideology did Gaddafi create?,Third International Theory
2140,By what name was Muammar Muhammad Abu Minyar al-Gaddafi typically known?,Colonel Gaddafi
2141,What was Gaddafi's nationality?,Libyan
2142,What was the official name of Libya between 1969 and 1977?,Libyan Arab Republic
2143,"From 1977 to 2011, what was Gaddafi's title?",Brotherly Leader
2144,What was Colonel Gaddafi's date of death?,20 October 2011
2145,What is the official name of Cypus?,Republic of Cyprus
2146,Where is Cyprus located?,Eastern Mediterranean Sea
2147,What countries are nearby Cyprus?,Syria and Turkey
2148,What is Cyprus' affiliation with the European Union?,member state
2149,Is Cyprus an island country or land-locked country? ,island country
2150,What does Cyprus rank in terms of size in the Mediterranean? ,third largest
2151,Which country is north of Cyprus?,Turkey
2152,What issue did Spielberg address in his movie Schindler's List?,the Holocaust
2153,What issue did Spielberg address in his movie Amistad?,the transatlantic slave trade
2154,What issue did Spielberg address in his movie Munich?,terrorism
2155,How long has Steven Spielberg had his career so far?,more than four decades
2156,In what film did Spielberg address humanistic issues?,Schindler's List
2157,In what film did Spielberg cover the slave trade?,Amistad
2158,In what films did Spielberg address war?,"Empire of the Sun, Saving Private Ryan, War Horse and Bridge of Spies"
2159,In what film did Spielberg address terrorism?,Munich
2160,What type of films did Spielberg find early success with?,y science-fiction and adventure
2161,For which industry were elevators first used?,coal mines
2162,In the mid 1800s what were elevators fueled by?,steam power
2163,What were elevators originally built for?,moving goods in bulk in mines and factories
2164,"Who built the ""ascending room"", in 1823?",Burton and Hormer
2165,"The ""ascending room"" gave customers a view of what city's downtown?",London
2166,What planet is Neptune's near-twin? ,Uranus
2167,What is Neptune named after?,Roman god of the sea
2168,How much more dense is Neptune compared to Earth?,17 times
2169,What does the astronomical sign of Neptune represent?,god Neptune's trident
2170,How many Earth years does Neptune orbit the sun? ,164.8 years
2171,What is of the factors the capital cost of electrification system depends on?,maintenance
2172,How do some locomotives function in order to be more flexible in operation?,can switch to different supply voltages
2173,What are two types of revenue obtained through railway transportation?,freight and passenger traffic
2174,What is the main disadvantage of railway electrification?,significant capital expenditure
2175,How many people speak Spanish as a first or second language in the United States?,"There are 45 million Hispanophones who speak Spanish as a first or second language in the United States,"
2176,How many Hispanics speak English too?,"Roughly half of all American Spanish-speakers also speak English ""very well,"" based on their self-assessment in the U.S. Census."
2177,What type of language id Spanish?,Spanish is the Romance language and the Indo-European language with the largest number of native speakers in the world.
2178,What other language is often spoken in the United states?,The Spanish language is the second most spoken language in the United States.
2179,How many Spanish speaking students are there in the United States?,six million Spanish language students.
2180,What is the oldest city in South Carolina?,Charleston
2181,"What county is Charleston, South Carolina located in?",Charleston County
2182,Charleston is located on what harbor?,Charleston Harbor
2183,Charleston Harbor is an inlet of what ocean?,Atlantic Ocean
2184,What river mergers with the Cooper River to form Charleston Harbor?,Ashley Rivers
2185,What county is Charleston located in?,Charleston County
2186,Charleston Harbor is formed on what ocean?,Atlantic Ocean
2187,What river merges with the Ashley River to from the Charleston Harbor?,Cooper Rivers
2188,Red is opposite what color of the spectrum?,violet
2189,Which two colors besides red make up the RGB color system?,Green Blue
2190,Which color is red next to on the spectrum of visible light?,orange
2191,How many nanometres does red have?,roughly 620–740
2192,Which colors are combined to make all other colors? ,Red Green Blue
2193,What spectrum of light is red within?,visible light
2194,Which color is opposite of red on the visible spectrum?,violet
2195,"On the spectrum of light, where is red found?",620–740 nanometres
2196,What color is beside red in the visible spectrum of light?,orange
2197,Red Yellow and Blue are what kind of colors?,subtractive primary colors
2198,What was the beginning date of the aerial raids on Great Britain?,7 September 1940
2199,How many days did the aerial raids on Great Britain last?,267 days
2200,How many times was London attacked?,71 times
2201,Who was the UK Prime Minster at the time of the aerial raids?,Winston Churchill
2202,What city did Winston Churchill bomb in retaliation for the killing of civilians? ,Berlin
2203,Which president signed the Act into law?,Richard Nixon
2204,On what day was the Endangered Species Act signed?,December 28
2205,What did the Supreme Court cite as the intent of Congress in enacting the Endangered Species Act?,"to halt and reverse the trend toward species extinction, whatever the cost"
2206,Which two federal agencies administer the Act?,the United States Fish and Wildlife Service (FWS) and the National Oceanic and Atmospheric Administration (NOAA)
2207,In what year did the Endangered Species Act become law?,1973
2208,The word Vacuum stems from what Latin adjective?,vacuus
2209,"What does the term used by Physicists, partial vacuum, refer to?",imperfect vacuum
2210,What is a vacuum?,space void of matter
2211,What type of pressure is less than atmospheric pressure in a vacuum?,gaseous
2212,What Latin term is used to describe an object in a vacuum?,in vacuo
2213,What period followed the Han dynasty?,Three Kingdoms
2214,What dynasty came before the Han dynasty?,Qin
2215,Who founded the Han dynasty?,Liu Bang
2216,When did the Former Han period begin?,206 BC
2217,When did the Later Han period end?,220 AD
2218,Which two seas have been most central to Greek history?,Aegean and Ionian seas
2219,During which prehistoric age was the Greek language invented?,Bronze
2220,Which city in modern Turkey was once a major center of Greek culture?,Constantinople
2221,Which area of North Africa has hosted Greek communities in the past? ,Egypt
2222,What eleventh century empire had roughly the same extent as ancient Greece's?,Byzantine Empire
2223,Where are Greek States believed to have been settled ?,Greek colonies and communities have been historically established on the shores of the Mediterranean Sea and Black Sea
2224,Which two bodies of water are believed to be central to the establishment of the Greek society ?,Greek people have always been centered around the Aegean and Ionian seas
2225,When was the emergence of the Greek spoken dialect believed to have started ?,the Greek language has been spoken since the Bronze Age.
2226,What other culture did the Greek states share boarders with ?,these regions coincided to a large extent with the borders of the Byzantine Empire of the late 11th century
2227,Where have the centers of culture been located for the Grecian world historically ?,"The cultural centers of the Greeks have included Athens, Thessalonica, Alexandria, Smyrna, and Constantinople at various periods."
2228,Which angel is believed to have communicated the Quran to Muhammad?,Gabriel
2229,On which date did Muhammad begin receiving the Quran?,22 December 609 CE
2230,In which year CE did Muhammad die?,632
2231,What is the Arabic variant of Gabriel?,Jibril
2232,"How many times is the word ""Quran"" used in the Quran?",70
2233,What is a nation which can exert its influence on a global scale called?,A great power
2234,What two dominant traits do great powers usually possess?,military and economic strength
2235,"China, France, Russia, the United Kingdom, and the United States serve as what body's five permanent members?",United Nations Security Council
2236,What two lesser traits do great powers usually possess?,diplomatic and soft power influence
2237,"Canada, France, Germany, Italy, Japan, the United Kingdom, and the United States are part of what international forum?",the G7
2238,What do great powers usually have?,"military and economic strength, as well as diplomatic and soft power influence"
2239,What are the permanent members of UN Security Council?,"China, France, Russia, the United Kingdom and the United States"
2240,What are the countries in the G7?,"Canada, France, Germany, Italy, Japan, the United Kingdom and the United States of America"
2241,What 3 factors have international relations theorists considered factors for great power status?,"power capabilities, spatial aspects, and status dimensions"
2242,"During the period from 1989 - 1996, what was the total are of the US in miles?","3,618,780 sq mi"
2243,"According to the CIA World Factbook, what is the total area of the US in miles?","3,794,100 sq mi"
2244,"According to the Encyclopedia Britannica, what is the total area of the US in miles?","3,676,486 sq mi"
2245,When did Audio CDs become available for purchase?,1982
2246,What does CD stand for?,Compact Disc
2247,What does SVCD stand for?,Super Video Compact Disc
2248,What were CD's originally created to store?,sound recordings
2249,What does SVCD stand for?,Super Video Compact Disc
2250,In what year were compact discs realesed for purchase?,1982
2251,What was the original intended format for CDs?,data storage
2252,What is the use of a transistor?,to amplify or switch electronic signals and electrical power
2253,What is a transistor made of?,semiconductor material
2254,Why does a transistor increase a signal?,the controlled (output) power can be higher than the controlling (input) power
2255,What is the minimum amount of external connection terminals to call an item a transistor?,three
2256,Where are most transistors found?,embedded in integrated circuits
2257,What did many people in the Pre-Modern era express their faith through?,via a faith in some form of deity
2258,What were Religious officials perceived as in the Pre-Modern era?,spiritual intermediaries
2259,Through whom did the general masses have access to the divine?,Religious officials
2260,What belief did ancient cultures consider sacred?,Tradition
2261,How were the moral standards of ancient cultures enforced?,strictly
2262,Who were spiritual intermediates? ,Religious officials
2263,Peoples sense of worth was expressed through what in the Pre-modern era?,via a faith in some form of deity
2264,Through who did the masses have access to the divine?,spiritual intermediaries
2265,What did social order mandate be strictly enforced?,ceremony and morals
2266,What belief was considered sacred by ancient civilizations?,Tradition
2267,"What types of control are considered when labeling a country with the perjorative ""51st state"" label?",excessive American cultural or military influence or control
2268,"Sometimes, when a country refers to themselves as the 51st state, what has happened to their culture?",their local or national culture has become too Americanized
2269,"What reasoning would cause a country to be referred to as the ""51st state"" in a positive way?","a region or territory is so aligned, supportive, and conducive with the United States, that it is like a U.S. state"
2270,"What is a positive connotation of the label ""51st state""?","a region or territory is so aligned, supportive, and conducive with the United States"
2271,What is a reason for one negative connotation of the term?,an area or region is perceived to be under excessive American cultural or military influence or control
2272,"If a country refers to themselves as the ""51st state"" after cultural changes, what can we assume has changed?",their local or national culture has become too Americanized
2273,What device is able to change electric powerinto radio waves and also do the reverse?,An antenna
2274,What device is often used in conjuntion with the antenna?,radio transmitter or radio receiver
2275,What process associated with antennas produces a high frequency alternating current?,transmission
2276,What else can radio waves be called?,electromagnetic waves
2277,When does an antenna catch electromagnetic waves?,reception
2278,What are the most diverse group of land plants?,angiosperms
2279,How many species of flowering plants are there about?,"350,000"
2280,What does an angiosperm produce its seeds within?,an enclosure
2281,What do angiosperms have in common with gymnosperms?,seed-producing plants
2282,"What is the Greek word for ""case"" or ""casing""?",angeion
2283,Which city is the capital of Telangana?,Hyderabad (i/ˈhaɪdərəˌbæd/ HY-dər-ə-bad; often /ˈhaɪdrəˌbæd/) is the capital of the southern Indian state of Telangana
2284,How many square miles does Hyderabad cover?,250 sq mi
2285,What river is Hyderabad next to?,the Musi River
2286,What is the population of Hyderabad?,about 6.7 million
2287,"At what altitude is Hyderabad, in meters?",an average altitude of 542 metres
2288,What type of city is Santa Monica?,beachfront
2289,What part of Los Angeles County is it located in?,western
2290,What is Santa Monica named after?,"Christian saint, Monica"
2291,Approximately how many residents of Santa Monica rent their property?,two-thirds
2292,What was the population in 2010 according to the Census Bureau?,"89,736"
2293,When was Washington University founded?,1853
2294,How many Nobel laureates have been affiliated with Washington University?,Twenty-five
2295,Where is Washington University ranked among Academic Ranking of World Universities?,32nd
2296,For whom is Washington University named?  ,George Washington
2297,How many different countries comprise the makeup of faculty and students of Washington University?,120
2298,What is the CIA's main focus?,overseas intelligence gathering
2299,What does FBI stand for?,Federal Bureau of Investigation
2300,What is the only agency that is authorized to carry out action on behalf of the president?,CIA
2301,What type of stimuli causes pain?,intense or damaging
2302,What type of feeling is pain?,distressing
2303,Why has defining pain been a challenge?,"complex, subjective phenomenon"
2304,What organization's definition is widely used?,The International Association for the Study of Pain
2305,"In medical diagnosis, what is pain considered?",a symptom
2306,What does DBMS stand for?,database management system
2307,What is the purpose of a DBMS?,"to allow the definition, creation, querying, update, and administration of databases"
2308,What is the most popular DBMS?,SQL language
2309,How are DBMSs classified?,according to the database model that they support
2310,What is the largest populated city in Arizona?,Phoenix
2311,How many miles is Tuscon from the U.S.- Mexico border?,60
2312,What nickname does Tuscon have because of their many companies involved in optics?,Optics Valley
2313,What was the population of Tuscon according to the 2010 U.S. Census? ,"520,116"
2314,What was the estimated population of the entire Tuscan area in 2013? ,"996,544"
2315,Which county is Tucson in?,Pima County
2316,Which university is in Tucson?,University of Arizona
2317,How far is Tucson from Phoenix?,108 miles (174 km)
2318,How far is Tucson from Mexico?,60 mi (97 km)
2319,What industry-based nickname does Tucson have?,Optics Valley
2320,What kind of government does Armenia have?,democratic
2321,What religion did Armenia support?,Christianity
2322,Who brought Armenia to success in the 1st century BC?,Tigranes the Great
2323,What two empires did Armenia belong to in the beginning of the 5th century?,Byzantine and Sasanian
2324,When was Urartu created?,860 BC
2325,What is a large domain of prokaryotic microorganisms?,Bacteria
2326,What configurations can bacteria can bacteria take?,spheres to rods and spirals
2327,When is the typical lenght  for bacteria?,few micrometres
2328,What environments can bacteria live?,present in most of its habitats
2329,What is the relationships between plants animals and bacteria?,symbiotic and parasitic relationships
2330,What's the abbreviation for a printed wiring board?,PWB
2331,"What organization likes the term ""circuit card assembly"" for boards that have already been assembled?",IPC
2332,"What would we call a printed circuit board with embedded electronics, abbreviated PCA?",printed circuit assembly
2333,"What's the more appropriate, but mostly unused, name for a printed circuit board when it doesn't have embedded components?",printed wiring board
2334,What abbreviation would the IPC use for an assembled circuit board?,CCA
2335,How many club members are there?,The Premier League is a corporation in which the 20 member clubs act as shareholders
2336,How many matches does each team play?,"Teams play 38 matches each (playing each team in the league twice, home and away), totalling 380 matches in the season."
2337,What days are most games played?,Most games are played on Saturday and Sunday afternoons; others during weekday evenings
2338,Who sponsors the Premier League?,It is currently sponsored by Barclays Bank and thus officially known as the Barclays Premier League and is colloquially known as the Premiership.
2339,What name is the Premier League known as outside of the United Kingdom?,Outside the UK it is commonly referred to as the English Premier League (EPL).
2340,How many member clubs are shareholders in the Premier League?,20
2341,When do Premier League seasons run from?,August to May
2342,How many matches do each team play?,38
2343,Who sponsors the Premier League?,Barclays Bank
2344,What is the Premier League commonly referred to outside the UK?,English Premier League
2345,When did the Roman Republic begin?,509 BC
2346,When did the Roman Republic end?,27 BC
2347,What marked the beginning of the Roman Republic?,the overthrow of the Roman Kingdom
2348,When was Cleopatra defeated at the Battle of Actium?,31 BC
2349,What do most consider to be the event that ended the Roman Republic?,Roman Senate's grant of extraordinary powers to Octavian
2350,When do most people believe the Pacific War began?,early December 1941
2351,On what date did Japan attack Pearl Harbor?,7/8 December 1941
2352,When did the Second Sino-Japanese War begin?,7 July 1937
2353,Which countries did the Second Sino-Japanese War encompass?,Empire of Japan and the Republic of China
2354,Has Japan ever attacked Thailand?,Japan invaded Thailand
2355,What is the generally accepted date the Pacific War started?,7/8 December 1941
2356,When did Japan invade Manchuria?,19 September 1931
2357,What nation initiated hostilities?,Japan
2358,When did Japan invade China?,7 July 1937
2359,What was the Pacific War theater part of after December 1941?,World War II
2360,Richmond is located at what line of the James river?,the fall line
2361,At what intersections is the Richmond located?,"Interstate 95 and Interstate 64, and encircled by Interstate 295 and Virginia State Route 288."
2362,What counties are located? around Washington.D.C?,Henrico and Chesterfield counties
2363,What suburb is located on the southwest?,Midlothian
2364,What suburb is located on the north and west?,Glen Allen
2365,What are the major roads in Richmond?,"Interstate 95 and Interstate 64, and encircled by Interstate 295 and Virginia State Route 288"
2366,What is the closest historically famous city is 44 miles away?,44 miles (71 km) west of Williamsburg
2367,What counties surround Richmond?,Henrico and Chesterfield counties
2368,Name at least two major suburbs of Richmond.,"Midlothian to the southwest, Glen Allen to the north and west, Short Pump to the west and Mechanicsville to the northeast"
2369,How many miles east of Richmond is Williamsburg?,44
2370,How many kilometers west of Charlottesville is Richmond?,106
2371,"Leaving Washington DC, what cardinal direction would one travel to reach Richmond?",south
2372,What is Richmond's southwestern suburb?,Midlothian
2373,Where is Short Pump located in relation to Richmond?,west
2374,Which city in Mexico does San Diego border?,Tijuana
2375,"Aside from healthcare, which employment sector has strongly emerged in San Diego?",biotechnology development
2376,"Of all military branches, which one has the strongest presence in San Diego?",United States Navy
2377,What is unique about San Diego's harbors?,deep-water
2378,"Of the top 10 largest cities in the country, which place does San Diego rank?",eighth
2379,Islamic World is another way to refer to what?,Muslim world
2380,"When speaking of religion, what does Ummah refer to?",those who adhere to the teachings of Islam
2381,"When speaking about culture, what does Ummah refer to?",Islamic civilization
2382,"Community, or Nation are direct translations of what word in reference to Islam?",Ummah
2383,Which country borders Iran to Iran's northwest?,Armenia
2384,How many people live in Iran?,78.4 million
2385,What is Iran's land mass in square miles?,"636,372 sq mi"
2386,What is the unofficial name for Iran?,Persia
2387,What is Iran's official country name?,the Islamic Republic of Iran
2388,What is two islands that are part of the British Isles?,"Great Britain, Ireland"
2389,Where are the British Isles located?,"North Atlantic,"
2390,How many people live in the British Isles?,just under 70 million
2391,What is one of the three Crown Dependencies of the British Isles?,Isle of Man
2392,Where are the Bailiwick of Jersey and the Bailiwick of Guernsey located?,in the Channel Islands
2393,What Museum has a vase with an image of an episkyros player?,National Archaeological Museum of Athens
2394,What game did Athenaeus reference in 228 AD?,harpastum
2395,"What is the name of a similar, non-competitive game in Japan called?",kemari
2396,What country is the game chuck-guk from?,Korea
2397,What country is the game wogabaliri from?,Australia
2398,Who were the British monarchs of the House of Hanover from August 1714 to June 1830?,"George I, George II, George III, and George IV"
2399,What was the 19th century revival of Georgian architecture in the United States referred to as?,Colonial Revival
2400,Between what years was Georgian architecture in style?,between 1714 and 1830
2401,What was the name given to the 20th century Great British revival Georgian architecture.,Neo-Georgian
2402,What was the name of the house of the monarchs in power from 1714 and 1830?,House of Hanover
2403,How did the republic of liberia begin?,as a settlement of the American Colonization Society (ACS)
2404,When did the Republic of Liberia declare it's independence?,"July 26, 1847"
2405,When did the united states recognize the republic of Liberia's independence?,"February 5, 1862. Between January 7, 182"
2406,How many slaves were freed in the american civil war?,"more than 15,000"
2407,What was the Liberian flag and constitution modeled after?,the United States
2408,Who are Windows main operating system competitors?,Android and iOS
2409,What new security features does Windows 8 have?,"built-in antivirus software, integration with Microsoft SmartScreen phishing filtering service and support for UEFI Secure Boot"
